"%1 days","%1 días"
"%1 day","%1 día"
"ID","ID"
"Title","Título"
"Action","Acción"
"Amount","Cantidad"
"Status","Estado"
"Store View","Vista de tienda"
"Created On","Creado en"
"Expire On","Caduca en"
"Reward Account Enable","Cuenta de recompensa habilitada"
"Enable Reward Account","Habilitar Cuenta de recompensa"
"Balance Information","Información de balance"
"Current Balance:","Saldo real:"
"Total Earning Points:","Total de puntos ganados:"
"Total Spending Points:","Total de puntos gastados:"
"Update Balance","Actualizar Balance"
"Update Points","Actualizar Puntos"
"Comment","Comentario"
"Points expire after","Puntos caducan tras"
"Day(s) since the transaction date. If empty or 0, there is no expiration","día(s) desde la fecha de desplazamiento. Si vacío o 0, no hay expiración de heno"
"Email Notification","Notificación de correo electrónico"
"Subscribe to balance update","Suscríbase a la actualización de saldo"
"Subscribe to points expiration notification","Suscríbase a la notificación de vencimiento de puntos"
"Transactions","Actas"
"Reward Points","Puntos de recompensa"
"Save and Continue Edit","Guardar y continuar Editar"
"Earning Rate Information","Información sobre la tasa de ganancia"
"Spending Rate Information","Información de tasa de gasto"
"Website","Sitio web"
"Customer Group(s)","Grupo (s) de clientes"
"Earning Rate","Tasa de ganancia"
"Spending Rate","Tasa de gasto"
"The ratio of spends to points earned for that","La proporción de gastos a puntos ganados por ese"
"The ratio of points spent to a discount","La proporción de puntos gastados a un descuento"
"Priority","Prioridad"
"If you have similar rates, set the priority of this one (lower number means higher priority with 0 being the highest)","Si tiene tasas similares, establezca la prioridad de esta (un número más bajo significa una prioridad más alta con 0 siendo la más alta)"
"Point(s)","Puntos)"
"First Name","Primer nombre"
"Last Name","Apellido"
"Email","Email"
"Group","Grupo"
"Expire","Expirar"
"Cancel","Cancelar"
"This action can not be restored. Are you sure?","Esta acción no se puede restaurar. ¿Estás seguro?"
"Transaction Information","información de la transacción"
"Customer","Cliente"
"Point Amount","Cantidad de puntos"
"Created At","Creado en"
"Customer Id","Identificación del cliente"
"This comment will not be translated.","Este comentario no será traducido."
"day(s) since the transaction date. If empty or 0, there is no expiration.","día(s) desde la fecha de la transacción. Si está vacío o 0, no hay caducidad."
"Earned","Ganado"
"Spent","Gastado"
"This item does not exists.","Este artículo no existe."
"The earning rate has been saved successfully.","La tasa de ganancia se ha guardado con éxito."
"The spending rate has been saved successfully.","La tasa de gasto se ha guardado con éxito."
"'An error occurred while saving the rate. Please try again later.' .","Se produjo un error al guardar la tasa. Por favor, inténtelo de nuevo más tarde.' ."
"The earning rate has been deleted successfully.","La tasa de ganancia se ha eliminado con éxito."
"The spending rate has been deleted successfully.","La tasa de gasto se ha eliminado con éxito."
"An error occurred while deleting the rate. Please try again later.","Se produjo un error al eliminar la velocidad. Por favor, inténtelo de nuevo más tarde."
"Cannot delete the rate #%1","No se puede eliminar la tasa # %1"
"A total of %1 record(s) have been deleted.","Se ha eliminado un total de %1 registro (s)."
"'Something went wrong while updating the transaction.' .","Algo salió mal al actualizar la transacción'. ."
"A total of %1 record(s) have been cancelled.","Se ha cancelado un total de %1 registro (s)."
"A total of %1 record(s) have been completed.","Se ha completado un total de %1 registro (s)."
"No transaction was updated.","No se actualizó ninguna transacción."
"Edit Earning Rate #%1","Editar tasa de ganancia # %1"
"Add Earning Rate","Agregar tasa de ganancia"
"Edit Spending Rate #%1","Editar tasa de gasto # %1"
"Add Spending Rate","Añadir tasa de gasto"
"The transaction does not exist.","La transacción no existe."
"The transaction has been canceled successfully.","La transacción ha sido cancelada con éxito."
"An error occurred while cancelling transaction. Please try again later.","Se produjo un error al cancelar la transacción. Por favor, inténtelo de nuevo más tarde."
"The transaction has been expired successfully.","La transacción ha expirado con éxito."
"An error occurred while expiring transaction. Please try again later.","Se produjo un error al expirar la transacción. Por favor, inténtelo de nuevo más tarde."
"Point amount must be greater than zero","La cantidad de puntos debe ser mayor que cero"
"Customer does not exist.","El cliente no existe."
"The transaction has been created successfully.","La transacción se ha creado con éxito."
"An error occurred while creating the transaction. Please try again later.","Se produjo un error al crear la transacción. Por favor, inténtelo de nuevo más tarde."
"Transaction #%1","Transacción # %1"
"New Transaction","Nueva transacción"
"Saved email settings successfully.","La configuración del correo electrónico se guardó correctamente."
"Something wrong when saving email notifications.","Algo está mal al guardar las notificaciones por correo electrónico."
"Each of %1 gets %2 discount","Cada uno de %1 obtiene%2 de descuento"
"Something went wrong while spending points. Please reload page!","Algo salió mal al gastar puntos. Por favor vuelva a cargar la página!"
"Cannot create transaction. Point amount is invalid.","No se puede crear la transacción. El monto del punto no es válido."
"Admin Updated","Administrador actualizado"
"Updated by Admin","Actualizado por el administrador"
"Earning Order","Orden de ganancia"
"Earning Refund","Ganar reembolso"
"Spending Order","Orden de gasto"
"Spending Refund","Reembolso de gastos"
"Reward Action does not exist","La acción de recompensa no existe"
"Totals calculation is not applicable to empty cart.","El cálculo de totales no es aplicable al carrito vacío."
"Invalid points or money rate.","Puntos o tasa de dinero no válidos."
"Earning","Ganador"
"Spending","Gasto"
"Both","Ambos"
"Before Tax","Antes de impuestos"
"After Tax","Despues del impuesto"
"After Amount","Después de la cantidad"
"Before Amount","Antes de la cantidad"
"Point To Money","Point To Money"
"Money To Point","Dinero a punto"
"Before amount","Antes de la cantidad"
"After amount","Después de la cantidad"
"Normal","Normal"
"Rounding Down","Redondeando hacia abajo"
"Rounding Up","Redondeando"
"Pending","Pendiente"
"Completed","Terminado"
"Expired","Muerto"
"You will earn","Usted ganará"
"Login to earn","Inicia sesión para ganar"
"You will spend","Gastarás"
"Invalid transaction Data","Datos de transacción no válidos"
"Reward account does not exist","Cuenta de recompensa no existe"
"Account balance is not enough to take points back.","El saldo de la cuenta no es suficiente para recuperar puntos."
"An error occurred while creating transaction. Please try again later.","Se produjo un error al crear la transacción. Por favor, inténtelo de nuevo más tarde."
"Invalid transaction data to complete.","Datos de transacción no válidos para completar."
"Cannot complete this transaction. Maximum points allowed in account balance is %1","No se puede completar esta transacción. El máximo de puntos permitidos en el saldo de la cuenta es %1"
"An error occurred while completing transaction. Please try again later.","Se produjo un error al completar la transacción. Por favor, inténtelo de nuevo más tarde."
"Invalid transaction data to cancel.","Datos de transacción no válidos para cancelar."
"Account balance is not enough to cancel.","El saldo de la cuenta no es suficiente para cancelar."
"An error occurred while canceling transaction. Please try again later.","Se produjo un error al cancelar la transacción. Por favor, inténtelo de nuevo más tarde."
"Active","Activo"
"Inactive","Inactivo"
"Available Balance","Saldo disponible"
"Total Earned","Total de Ganancias"
"Total Spent","Gasto total"
"Your Account is currently inactive.","Su cuenta está actualmente inactiva."
"Reward information","Información de recompensa"
"Current exchange rates:","Tipos de cambio actuales:"
"Each %1 spent for your order will earn %2.","Cada %1 gastado en su pedido ganará%2."
"Each %1 can be redeemed for %2.","Por cada %1 obtienes %2 de descuento."
"Balance limitation:","Limitación de saldo:"
"Balance is limited at %1","El saldo es limitado en %1"
"Day","Día"
"Each earned %1(s) record expires in %2","Cada registro ganado %1 (s) caduca en%2"
"* Required Fields","* Campos requeridos"
"Save","Salvar"
"Recent Transactions","Transacciones Recientes"
"View All","Ver todo"
"Transaction #","Transacción #"
"Date","Fecha"
"Expire Date","Fecha de caducidad"
"N/A","N / A"
"You have created no transactions.","No ha creado transacciones."
"Reward Points Balance Updated at %store_name","Saldo de puntos de recompensa actualizado en% store_name"
"Dear %name,","Estimado% name,"
"To view more details, please click <a href=""%reward_url"">here</a>.","Para ver más detalles, haga clic <a href=""%reward_url""> aquí </a>."
"The transaction detail:","El detalle de la transacción:"
"Transaction amount: ","Cantidad de transacción:"
"%amount point(s)","% cantidad de puntos"
"Transaction status: ","Estado de la transacción:"
"Current balance: ","Saldo actual:"
"%balance point(s)","% punto (s) de equilibrio"
"Transaction comment:","Comentario de transacción:"
"Expiration date:","Fecha de caducidad:"
"Please update us if anything got you confused, we would be willing to help as soon as possible.","Por favor, infórmenos si algo lo confundió, estaríamos dispuestos a ayudar lo antes posible."
"Your reward points at %store_name is about to expire!","¡Tus puntos de recompensa en% store_name están a punto de caducar!"
"We would like to inform you that your transaction will be expired after %date","Nos gustaría informarle que su transacción caducará después del% fecha"
"Please check more details <a href=""%reward_url"">here</a>.","Por favor, consulte más detalles <a href=""%reward_url""> aquí </a>."
"The transaction detail","El detalle de la transacción"
"Transaction amount:","Cantidad de transacción:"
"Transaction amount used:","Cantidad de transacción utilizada:"
"Transaction status:","Estado de la transacción:"
"Current balance:","Saldo actual:"
"Transaction comment:","Comentario de transacción:"
"Feel free to send us a word if you need any further helps.","No dude en enviarnos una palabra si necesita más ayuda."
"Checkout now to earn","Pague ahora para ganar"
"Spend Your Points","Gasta tus puntos"
"Choose how many points to spend","Elige cuántos puntos gastar"
"Maximize my discount with points","Maximiza mi descuento con puntos"
"Select Customer","Seleccionar cliente"
"You have %s","Tu tienes S"
"Mageplaza Reward Points","Puntos de recompensa de Mageplaza"
"General Configuration","Configuración general"
"Enable","Habilitar"
"Enable/Disable Reward Points","Habilitar / deshabilitar puntos de recompensa"
"Label in My Account Navigation","Etiqueta en la navegación de Mi cuenta"
"Point Label","Etiqueta de punto"
"In case the number of point is equal to 1.","En caso de que el número de puntos sea igual a 1."
"Plural Point Label","Etiqueta de punto plural"
"In case the number of point is greater than 1.","En caso de que el número de puntos sea mayor que 1"
"Display Point Label","Display Point Label"
"Point label position: Before or after the point amount.","Point label position: Before or after the point amount."
"Zero Amount Label","Zero Amount Label"
"This is shown when the customer has 0 (zero) point. Default: ""zero point"" E.g: ""zero"" -> Result: ""Your balance is zero point""","This is shown when the customer has 0 (zero) point. Default: ""zero point"" E.g: ""zero"" -> Result: ""Your balance is zero point"""
"Show Point Icon","Show Point Icon"
"Select Yes to display the point icon","Select Yes to display the point icon"
"Reward Points Icon","Reward Points Icon"
"Recommended size: 25x25. If no file is chosen, the default icon will be used.","Recommended size: 25x25. If no file is chosen, the default icon will be used."
"Maximum Available Points Balance","Maximum Available Points Balance"
"If empty or 0, no limitation will be set","If empty or 0, no limitation will be set"
"Earning Configuration","Earning Configuration"
"Rounding Method","Rounding Method"
"E.g, 10.2 points generated from an order can be rounded up to 11 points or down to 10 points.","E.g, 10.2 points generated from an order can be rounded up to 11 points or down to 10 points."
"Earn Points from Tax","Earn Points from Tax"
"Select Yes to allow earning points from tax","Select Yes to allow earning points from tax"
"Earn Points from Shipping Fee","Earn Points from Shipping Fee"
"Select Yes to allow earning points from shipping fee","Select Yes to allow earning points from shipping fee"
"Point Refund","Point Refund"
"Select Yes to allow getting points back from customer if an order is refunded","Select Yes to allow getting points back from customer if an order is refunded"
"Sales Earning Process","Sales Earning Process"
"Earning Points after Invoice Created","Earning Points after Invoice Created"
"If No is set, customer will get points only when the order is completed","If No is set, customer will get points only when the order is completed"
"Points Expired After","Points Expired After"
"Day(s) since the transaction date. If empty or 0, there is no expiration.","Day(s) since the transaction date. If empty or 0, there is no expiration."
"Spending Configuration","Spending Configuration"
"Minimum Balance to Spend Points","Minimum Balance to Spend Points"
"Enter the minimum points in balance that a customer has to earn before spending. If empty or 0, there is no limitation.","Enter the minimum points in balance that a customer has to earn before spending. If empty or 0, there is no limitation."
"Discount Label","Discount Label"
"It will be displayed in Shopping cart, Checkout page, Order view and Emails","It will be displayed in Shopping cart, Checkout page, Order view and Emails"
"Maximum Spending Points per Order","Maximum Spending Points per Order"
"Enter the maximum points spent at once. If empty or 0, there is no limitation","Enter the maximum points spent at once. If empty or 0, there is no limitation"
"Spending Points on Tax","Spending Points on Tax"
"Select Yes to allow spending points on tax","Select Yes to allow spending points on tax"
"Spending Points on Shipping Fee","Spending Points on Shipping Fee"
"Select Yes to allow spending points on Shipping fee/Shipping tax","Select Yes to allow spending points on Shipping fee/Shipping tax"
"Restore Spent Points after Order Refunding","Restore Spent Points after Order Refunding"
"If Yes is set, when an order is refunded, customer will get the points spent back.","If Yes is set, when an order is refunded, customer will get the points spent back."
"Use Max Points by Default","Use Max Points by Default"
"If Yes, ""Use Max Points"" checkbox will be checked by default","If Yes, ""Use Max Points"" checkbox will be checked by default"
"Display Configuration","Display Configuration"
"Display Total Points on Top Links","Display Total Points on Top Links"
"Display Earning Points on Minicart","Display Earning Points on Minicart"
"Email Configuration","Email Configuration"
"Enable Email Notification","Enable Email Notification"
"Select Yes to enable notification email.","Select Yes to enable notification email."
"Subscribe Customers by Default","Subscribe Customers by Default"
"Sender Email","Sender Email"
"Select a sender email for notification emails.","Select a sender email for notification emails."
"Update Point Balance Email","Update Point Balance Email"
"Enabled","Enabled"
"Update Balance Template","Update Balance Template"
"Select an email template used to send customers when their point balance is updated.","Select an email template used to send customers when their point balance is updated."
"Points Expiration Email","Points Expiration Email"
"Send Before","Send Before"
"Day(s). If empty or zero, no reminder email is sent.","Day(s). If empty or zero, no reminder email is sent."
"Points Expiration Template","Points Expiration Template"
"Select an email template used to send customers before a transaction expires.","Select an email template used to send customers before a transaction expires."
"Point Balance","Point Balance"
"Reward Active","Reward Active"
"Add Rate","Add Rate"
"Money spent","Money spent"
"Earning Point(s)","Earning Point(s)"
"Edit","Edit"
"Spending Point(s)","Spending Point(s)"
"Discount received","Discount received"
"Add Transaction","Agregar Transacción"
"Are you sure to cancel selected items?","Are you sure to cancel selected items?"
"Are you sure to expire selected items?","Are you sure to expire selected items?"
"Created Date","Created Date"
"View","Ver"
"Reward Earn","Reward Earn"
"Reward Spent","Reward Spent"
"Reward Dashboard","Panel de recompensas"
"Back","Volver"